Order_ID,Product_Line,Product_Name,Size,Units_Sold,MRP,Discount_Applied,Revenue,Order_Date,Region,Profit,Sales_Channel_Retail,Gender_Category_Men,Gender_Category_Women,Profit_Margin
2000,Training,SuperRep Go,M,0.25,0.5134769118315209,0.47,0.16904607862030174,2024-09-03,bengaluru,0.0824983216409254,False,False,False,0.4877341663126416
2001,Soccer,Tiempo Legend,M,0.75,0.36939317286619217,0.0,0.16904607862030174,2024-09-07,hyd,0.20905717577853739,True,False,True,1.2359563844682908
2002,Soccer,Premier III,M,1.0,0.5134769118315209,0.0,0.16904607862030174,,mumbai,0.8726813156796248,True,False,True,5.159335190020074
2003,Lifestyle,Blazer Mid,L,0.25,0.959616200581006,0.0,0.16904607862030174,2024-04-10,pune,0.8802815411279727,False,False,False,5.204268099552129
2004,Running,React Infinity,XL,0.25,0.5134769118315209,0.0,0.16904607862030174,2024-12-09,delhi,0.2668465893242898,True,False,False,1.5776102615024594
2005,Training,Flex Trainer,M,0.25,0.6705387885986641,0.0,0.16904607862030174,,delhi,0.5030845258178755,True,False,True,2.9742606504475764
2006,Training,SuperRep Go,M,0.25,0.6024276589912624,0.0,0.16904607862030174,2025-04-06,bangalore,0.5773574452777996,False,True,False,3.413365831399785
2007,Training,SuperRep Go,M,0.25,0.5134769118315209,0.32,0.16904607862030174,,bangalore,0.7940090756425375,True,False,False,4.6942210077771005
2008,Soccer,Premier III,11,0.25,0.5134769118315209,0.0,0.16904607862030174,2024-11-10,hyderabad,0.09005238019209276,False,False,True,0.5323941348604474
2009,Soccer,Mercurial Superfly,M,1.0,0.5134769118315209,0.0,0.16904607862030174,,pune,0.9866115998176409,False,True,False,5.832896676442506
2010,Lifestyle,Waffle One,L,0.25,0.7438679581805825,0.0,0.16904607862030174,,pune,0.6088028731199012,False,False,False,3.5992727592966482
2011,Training,Flex Trainer,L,0.25,0.9486657012437435,0.0,0.16904607862030174,,hyd,0.5513866419930249,True,False,True,3.259825155218495
2018,Lifestyle,Blazer Mid,,0.25,0.5134769118315209,0.86,0.16904607862030174,,delhi,0.6364876224625039,False,False,False,3.762946369518197
2013,Training,SuperRep Go,,0.25,0.9593007901531868,0.0,0.16904607862030174,,hyderbad,0.28828534220250723,False,False,False,1.7043572310632675
2014,Running,React Infinity,11,0.25,0.5134769118315209,0.0,0.16904607862030174,2025-12-04,bangalore,0.029800732130044427,False,False,True,0.17618340533297824
2015,Basketball,Air Jordan,,0.25,0.16006954048956204,0.0,0.16904607862030174,,kolkata,0.46023202713074657,True,False,False,2.7209145543590942
2016,Basketball,Air Jordan,M,0.25,0.9844209777973589,0.3,0.323530200796138,,hyderbad,0.702508209051405,True,False,True,2.170712768225024
2017,Basketball,Air Jordan,9,1.0,0.5134769118315209,0.0,0.16904607862030174,,delhi,0.605086437896867,True,False,True,3.5773010100645726
2019,Running,Air Zoom,6,0.0,0.17740960424752708,0.32,0.16904607862030174,,hyderabad,0.5991232136777127,False,False,False,3.5420461329323603
2020,Soccer,Tiempo Legend,L,0.25,0.5134769118315209,0.67,0.16904607862030174,,mumbai,0.31533529670887733,True,False,False,1.864277902751387
2021,Running,Free RN,L,0.25,0.6358361317664611,0.66,0.1151800073953286,,hyd,0.015163902103094515,True,True,False,0.13153973915956732
2022,Soccer,Premier III,M,0.25,0.5134769118315209,0.0,0.16904607862030174,,pune,0.8899592769494453,False,False,True,5.261483353375406
2023,Lifestyle,Waffle One,M,0.25,0.375153168059938,0.0,0.16904607862030174,2025-10-01,mumbai,0.5189332368958147,False,True,False,3.0679590158321877
2024,Training,SuperRep Go,XL,0.0,0.5134769118315209,0.5,0.16904607862030174,,bangalore,0.5851019422798368,True,False,False,3.45915168150762
2025,Basketball,Kyrie Flytrap,M,0.75,0.97800638080302,0.0,0.16904607862030174,,mumbai,0.5962204700174858,True,False,True,3.524884968547681
2026,Lifestyle,Blazer Mid,XL,0.25,0.5134769118315209,0.16,0.16904607862030174,2024-10-08,kolkata,0.6734519181383969,True,False,False,3.9814811175738716
2027,Basketball,Zoom Freak,XL,0.25,0.5134769118315209,0.22,0.16904607862030174,,pune,0.20401536588227825,False,True,False,1.2061489544800559
2028,Training,Flex Trainer,12,0.25,0.15815580023505588,0.0,0.16904607862030174,,delhi,0.04856372859250595,True,True,False,0.28711117034833283
2029,Training,ZoomX Invincible,12,0.0,0.5134769118315209,0.0,0.16904607862030174,,bangalore,0.19498781386276506,False,True,False,1.1527776195182906
2030,Soccer,Phantom GT,XL,0.25,0.5134769118315209,1.05,0.16904607862030174,,hyd,0.20705661023404692,True,True,False,1.224128941817484
2031,Soccer,Premier III,,1.0,0.1860433388947368,0.82,0.2252709198599448,2024-09-05,delhi,0.2981650581991448,False,True,False,1.3229970325560965
2032,Lifestyle,Blazer Mid,XL,0.25,0.5134769118315209,1.07,0.16904607862030174,2025-11-04,mumbai,0.12391195203259384,True,False,True,0.732573601725351
2033,Soccer,Mercurial Superfly,XL,0.25,0.5134769118315209,0.0,0.16904607862030174,,kolkata,0.03724322067969213,True,True,False,0.22018376650218138
2034,Basketball,Air Jordan,6,0.25,0.5293237825720719,0.0,0.16904607862030174,,delhi,0.17927183261421978,True,True,False,1.0598639594633954
2035,Basketball,Zoom Freak,,1.0,0.5134769118315209,0.38,0.16904607862030174,,bangalore,0.7914064168139839,False,False,False,4.678833959790041
2036,Training,Metcon 7,,0.75,0.5134769118315209,0.0,0.16904607862030174,,bangalore,0.20304201380005502,True,True,False,1.2003944487287979
2037,Running,Pegasus Turbo,7,0.75,0.45640765045515486,1.01,0.16525474313752403,,pune,0.7648854580044744,True,False,False,4.625724327534567
2038,Running,Free RN,,0.0,0.5134769118315209,0.83,0.16904607862030174,,delhi,0.4544611649831779,False,False,False,2.6867969313279207
2039,Training,Flex Trainer,M,0.25,0.09525770408744376,0.63,0.16904607862030174,,hyderbad,0.16601231501982291,True,False,True,0.98147303427877
2041,Soccer,Tiempo Legend,12,0.25,0.44398398415938745,0.0,0.16904607862030174,2025-05-03,hyd,0.6869211103908219,False,False,False,4.061111649728629
2042,Basketball,Kyrie Flytrap,L,0.25,0.5134769118315209,0.0,0.16904607862030174,,hyderbad,0.06485679605580807,False,False,True,0.38343659270634517
2043,Soccer,Premier III,XL,0.25,0.18602456446450943,0.77,0.16904607862030174,2024-02-05,delhi,0.9560529611255489,True,True,False,5.652232489951433
2044,Training,SuperRep Go,,0.25,0.5134769118315209,0.0,0.16904607862030174,2023-06-09,delhi,0.6490354003920339,False,False,False,3.837129454528977
